                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4309,                0.64997,                0.87039,                0.97723,                0.92158,                0.94938,                0.48338,                 1.7006,                0.73474,                 0.9181,               0.000307,               0.000307,               0.000307
                     37,                 1.4339,                0.66841,                0.88036,                0.96813,                0.93814,                0.95531,                0.49342,                 1.6404,                0.70203,                0.91051,              0.0002872,              0.0002872,              0.0002872
                     38,                  1.394,                0.64823,                0.85957,                0.96341,                0.92907,                0.94558,                0.51176,                 1.6304,                0.69093,                0.90851,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.3755,                0.63886,                0.86903,                0.97005,                0.93616,                0.95126,                0.49533,                 1.6597,                0.71102,                0.91108,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.3315,                0.61063,                0.85705,                0.95739,                  0.933,                 0.9438,                0.48779,                 1.7081,                0.72232,                0.92068,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.3677,                0.59659,                 0.8823,                0.96154,                0.93925,                0.95049,                0.49478,                 1.7009,                0.71233,                0.91649,               0.000208,               0.000208,               0.000208
                     42,                 1.3395,                0.59578,                0.88538,                0.96119,                0.94367,                0.94769,                0.50367,                 1.6591,                0.71164,                0.91423,              0.0001882,              0.0001882,              0.0001882
                     43,                  1.321,                0.58635,                0.88435,                0.96072,                0.93705,                0.94522,                0.51476,                 1.6243,                0.71895,                0.90537,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.2889,                0.56509,                0.86814,                0.97138,                0.93969,                0.95152,                0.50764,                 1.6505,                0.71448,                0.90787,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.2767,                0.55971,                0.87132,                0.97199,                0.93644,                0.95075,                0.51463,                 1.6697,                0.70591,                0.90774,              0.0001288,              0.0001288,              0.0001288
                     46,                  1.261,                0.55663,                0.87134,                0.96577,                0.93841,                0.95067,                0.51783,                 1.6613,                0.69765,                0.90877,               0.000109,               0.000109,               0.000109
                     47,                 1.2263,                0.53633,                0.86715,                0.96573,                0.93416,                0.95093,                0.52504,                 1.6176,                0.70356,                0.90584,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.2171,                0.53784,                0.86758,                0.96639,                0.93521,                0.95239,                0.52181,                 1.6418,                0.71179,                0.90822,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                  1.206,                0.53634,                 0.8609,                0.97107,                0.93978,                0.95206,                 0.5139,                 1.6496,                0.70195,                0.91023,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 1.1954,                0.52911,                0.85869,                0.97246,                0.94085,                0.95223,                0.52224,                 1.6053,                0.68933,                0.90612,               2.98e-05,               2.98e-05,               2.98e-05
